"Airradians_TranscriptID","log2FoldChange","up","down","Effect","gene.annotation"
"evm.model.Contig728.4",0.645338200344418,TRUE,FALSE,"Generation_2","GO:0003677;GO:0005634;GO:0005694;GO:0032991;GO:0051276;GO:0065003"
"evm.model.Contig731.20",0.800262458584209,TRUE,FALSE,"Generation_1",NA
"evm.model.Contig731.22.1",-1.00446325797282,FALSE,TRUE,"Generation_1",NA
"evm.model.Contig738.8",-0.437115654887599,FALSE,TRUE,"Generation_1",""
"evm.model.Contig74.241",0.530135515943885,TRUE,FALSE,"Generation_1","GO:0000228;GO:0004386;GO:0005654;GO:0016887;GO:0032991;GO:0043167"
"evm.model.Contig74.64",0.658636856898967,TRUE,FALSE,"Generation_1","GO:0005623;GO:0008289;GO:0016192;GO:0032991;GO:0043167"
"evm.model.Contig765.35",1.07518932086064,TRUE,FALSE,"Generation_2","GO:0003677;GO:0005634;GO:0005694;GO:0032991;GO:0051276;GO:0065003"
"evm.model.Contig766.4",-0.454162528330259,FALSE,TRUE,"Generation_1","GO:0003674"
"evm.model.Contig781.29",8.08469505466788,TRUE,FALSE,"Generation_2",""
"evm.model.Contig784.8",0.785771584006711,TRUE,FALSE,"Generation_1","GO:0005739;GO:0006810"
"evm.model.Contig786.9",0.512834042541461,TRUE,FALSE,"Generation_1","GO:0005739;GO:0032991"
"evm.model.Contig788.2",-0.890672388360458,FALSE,TRUE,"Generation_1","GO:0006950;GO:0016491"
"evm.model.Contig79.100",-0.86966007858732,FALSE,TRUE,"Generation_1","GO:0005856;GO:0007010;GO:0008092"
"evm.model.Contig79.101",-0.678635821806398,FALSE,TRUE,"Generation_1","GO:0003723"
"evm.model.Contig79.108",0.880193206559593,TRUE,FALSE,"Generation_1","GO:0005622;GO:0008150;GO:0032991"
"evm.model.Contig79.261",0.343316834886882,TRUE,FALSE,"Generation_1",NA
"evm.model.Contig791.25",-0.526180010645565,FALSE,TRUE,"Generation_1",""
"evm.model.Contig80.134",0.431086952479776,TRUE,FALSE,"Generation_1","GO:0003674"
"evm.model.Contig80.136",1.23051084823155,TRUE,FALSE,"Generation_1","GO:0005783;GO:0006457;GO:0043167;GO:0051082"
"evm.model.Contig80.209",0.519264289632558,TRUE,FALSE,"Generation_1",NA
"evm.model.Contig80.209",22.1478766562474,TRUE,FALSE,"Generation_2",NA
"evm.model.Contig80.266",0.699760934098566,TRUE,FALSE,"Generation_1","GO:0016491;GO:0042592"
"evm.model.Contig811.20",0.796352705151286,TRUE,FALSE,"Generation_1",""
"evm.model.Contig811.48",-0.472462262547378,FALSE,TRUE,"Generation_1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"
"evm.model.Contig812.49",0.669008041099069,TRUE,FALSE,"Generation_1","GO:0003723;GO:0016853;GO:0034641"
"evm.model.Contig82.124",0.828221016737088,TRUE,FALSE,"Generation_1","GO:0006464;GO:0016853"
"evm.model.Contig82.19.1",-0.434514289199255,FALSE,TRUE,"Generation_1",""
"evm.model.Contig82.222",0.988076396427729,TRUE,FALSE,"Generation_1","GO:0005737;GO:0005783;GO:0006464;GO:0009058;GO:0016757;GO:0032991"
"evm.model.Contig82.85",0.399532893119803,TRUE,FALSE,"Generation_1","GO:0005634;GO:0051276;GO:0065003"
"evm.model.Contig823.18",0.68458646515429,TRUE,FALSE,"Generation_1","GO:0016853;GO:0042592"
"evm.model.Contig823.62",24.7683926480645,TRUE,FALSE,"Generation_2",NA
"evm.model.Contig826.19",-0.326868796354971,FALSE,TRUE,"Generation_1","GO:0003735;GO:0005840;GO:0006412;GO:0042254"
"evm.model.Contig845.12",0.405018340667182,TRUE,FALSE,"Generation_1","GO:0043167"
"evm.model.Contig851.13",0.563054955709742,TRUE,FALSE,"Generation_1",NA
"evm.model.Contig854.27",-0.898598041195575,FALSE,TRUE,"Generation_1",NA
"evm.model.Contig902.93",0.474936369152724,TRUE,FALSE,"Generation_1","GO:0003723;GO:0009058;GO:0034641"
"evm.model.Contig902.93",24.3423739519733,TRUE,FALSE,"Generation_2","GO:0003723;GO:0009058;GO:0034641"
"evm.model.Contig909.19",-0.529265913877228,FALSE,TRUE,"Generation_1","GO:0005575;GO:0006464;GO:0009058;GO:0016757"
"evm.model.Contig921.28",2.01013289343712,TRUE,FALSE,"Generation_1","GO:0008233"
"evm.model.Contig975.14",-0.651534633109991,FALSE,TRUE,"Generation_1",NA
"evm.model.Contig990.21",0.70592077496413,TRUE,FALSE,"Generation_1","GO:0005654;GO:0006464;GO:0016810;GO:0032991;GO:0051276"
